wavelength,flux,flux_err,flux_noskysub,flux_err_noskysub
4750.25,1.42693e-17,4.40601e-18,2.54878e-17,4.40601e-18
4750.50,1.44403e-17,4.40620e-18,2.56564e-17,4.40620e-18
4750.75,1.10345e-17,4.40636e-18,2.22483e-17,4.40636e-18
4751.00,2.02815e-17,4.40641e-18,3.14921e-17,4.40641e-18
4751.25,1.21480e-17,4.40649e-18,2.33560e-17,4.40649e-18
4751.50,1.09333e-17,4.40656e-18,2.21390e-17,4.40656e-18
4751.75,1.12543e-17,4.40659e-18,2.24577e-17,4.40659e-18
4752.00,1.13185e-17,4.40660e-18,2.25195e-17,4.40660e-18
4752.25,1.45708e-17,4.40658e-18,2.57692e-17,4.40658e-18
4752.50,1.02044e-17,4.40654e-18,2.14000e-17,4.40654e-18
4752.75,1.37128e-17,4.40655e-18,2.49060e-17,4.40655e-18
4753.00,1.09908e-17,4.40656e-18,2.21817e-17,4.40656e-18
4753.25,5.00209e-18,4.40660e-18,1.61908e-17,4.40660e-18
4753.50,3.34062e-18,4.40667e-18,1.45271e-17,4.40667e-18
4753.75,7.36415e-18,4.40669e-18,1.85475e-17,4.40669e-18
4754.00,1.10655e-17,4.40680e-18,2.22465e-17,4.40680e-18
4754.25,1.15377e-17,4.40695e-18,2.27165e-17,4.40695e-18
4754.50,1.06041e-17,4.40712e-18,2.17806e-17,4.40712e-18
4754.75,9.31299e-18,4.40730e-18,2.04872e-17,4.40730e-18
4755.00,6.68348e-18,4.40744e-18,1.78548e-17,4.40744e-18
4755.25,1.04798e-17,4.40758e-18,2.16484e-17,4.40758e-18
4755.50,1.16702e-17,4.40777e-18,2.28365e-17,4.40777e-18
4755.75,1.29671e-17,4.40796e-18,2.41312e-17,4.40796e-18
4756.00,1.30468e-17,4.40813e-18,2.42084e-17,4.40813e-18
4756.25,8.69815e-18,4.40829e-18,1.98570e-17,4.40829e-18
4756.50,7.15312e-18,4.40831e-18,1.83076e-17,4.40831e-18
4756.75,1.24549e-17,4.40841e-18,2.36057e-17,4.40841e-18
4757.00,1.05357e-17,4.40848e-18,2.16827e-17,4.40848e-18
4757.25,1.00085e-17,4.40855e-18,2.11517e-17,4.40855e-18
4757.50,1.49168e-17,4.40861e-18,2.60560e-17,4.40861e-18
4757.75,6.09949e-18,4.40859e-18,1.72340e-17,4.40859e-18
4758.00,6.55591e-18,4.40858e-18,1.76859e-17,4.40858e-18
4758.25,5.42685e-18,4.40861e-18,1.65528e-17,4.40861e-18
4758.50,8.04462e-18,4.40859e-18,1.91666e-17,4.40859e-18
4758.75,1.06337e-17,4.40840e-18,2.17515e-17,4.40840e-18
4759.00,1.69002e-18,4.40776e-18,1.28035e-17,4.40776e-18
4759.25,1.32630e-17,4.40489e-18,2.43712e-17,4.40489e-18
4759.50,1.65397e-17,4.40109e-18,2.76438e-17,4.40109e-18
4759.75,1.07849e-17,4.39754e-18,2.18849e-17,4.39754e-18
4760.00,6.65683e-18,4.39485e-18,1.77528e-17,4.39485e-18
4760.25,1.19297e-17,4.39343e-18,2.30218e-17,4.39343e-18
4760.50,1.13725e-17,4.39292e-18,2.24596e-17,4.39292e-18
4760.75,3.84805e-18,4.39284e-18,1.49308e-17,4.39284e-18
4761.00,7.25183e-18,4.39283e-18,1.83305e-17,4.39283e-18
4761.25,9.25554e-18,4.39282e-18,2.03302e-17,4.39282e-18
4761.50,8.44156e-18,4.39280e-18,1.95122e-17,4.39280e-18
4761.75,1.14271e-17,4.39274e-18,2.24933e-17,4.39274e-18
4762.00,4.23949e-18,4.39261e-18,1.53006e-17,4.39261e-18
4762.25,7.40129e-18,4.39255e-18,1.84583e-17,4.39255e-18
4762.50,6.55972e-18,4.39247e-18,1.76127e-17,4.39247e-18
4762.75,6.11632e-18,4.39236e-18,1.71652e-17,4.39236e-18
